"Id","Name","AccountId","OwnerId","Amount","StageName","CreatedDate","CloseDate","Probability","Start_Date","End_Date","Record_Type_Name","AdvertiserName","Advertiser_Vertical","Type"
"58dba9c4e51f04e483b9f134d4b599a7","Naturohair's Ms. Manová","3e31f2e87d74463a36b31c231d0d8370","76e6a1534fa167caeb59b67a8bded0cc","252","Closed Won","2015-01-07 21:44:48","2015-01-08","100","2015-01-12","2015-03-12","Agency Opportunity","Coca Cola","CPG","Renewal Business"
"f26fade92f9876b3e677902c3a52592a","Lionel Playworld's Ms. Pušová","953becfc09b9ccc45f66d518c2af172b","f2e54b7393e2c14755769a655f304b43","941","Proposal","2015-01-07 23:11:29","2015-05-01","25","2015-05-03","2015-05-30","Agency Opportunity","","CPG","New Business"
"b5e19c917d4cd085a1bc0a04637a7a32","Pak and Save's Mr. Opletal","f075ebd3f5985f76bc2870537ff45d76","76e6a1534fa167caeb59b67a8bded0cc","30","Closed Won","2015-01-07 23:21:03","2015-01-12","100","2015-01-12","2015-02-12","Agency Opportunity","Tigo Music","Media & Entertainment","Renewal Business"
"9e6888587aa64163afa2d8aabf6489d1","Total Serve's Mr. Pravda","3a8280eb17a5df7d85be9c4e6755c9a5","1c70407c079df3d86c8a4f20e7078da9","224","Closed Won","2015-01-07 23:37:38","2015-01-08","100","2015-01-08","2015-01-22","Direct Opportunity","Def Jam Records","Media & Entertainment","Renewal Business"
"5c4b3b8342730425b33a5d172c13ae33","Big Wheel's Ms. Faltusová","59ba10b4541f6d728c97ccb2db8c5fac","c8379b222b0a1a7fa1e79e963f9fcd6a","86","Closed Won","2015-01-06 13:48:57","2015-01-12","100","2015-01-13","2015-03-02","Agency Opportunity","ADA","Media & Entertainment","Renewal Business"
"516014ed868bb73a6fa98bd086d1e4ff","Landskip Yard Care's Mr. Vondrák","04c2eed444064f48ac42769bf5ff9b47","ff453323a86798a3637badcd32a7c426","2551","Proposal","2015-01-04 03:52:52","2015-07-14","25","2015-07-01","2015-09-30","Agency Opportunity","Target","Retail","New Business"
"376254b099098967f0c0da808e330891","Netstars Matrix Design's Mr. Karásek","a094e89af71b8f15d9bcef74c9baa6c5","ff453323a86798a3637badcd32a7c426","0","Closed Lost","2015-01-04 04:00:42","2015-01-01","0","2015-01-01","2015-03-31","Agency Opportunity","","CPG","New Business"
"caeec237f6661d8479a9f15100ea620d","Thompson's Mr. Šulc","d62f9afab1fec48c8cb28362f54a5634","ff453323a86798a3637badcd32a7c426","0","Prospecting","2015-01-04 04:02:51","2015-04-01","5","2015-04-01","2015-06-30","Agency Opportunity","Champion","CPG","New Business"
"012fb958e91a426425f180065e10ddeb","Kent's's Mr. Sobotka","d62f9afab1fec48c8cb28362f54a5634","ff453323a86798a3637badcd32a7c426","0","Closed Lost","2015-01-04 04:05:01","2015-02-01","0","2015-02-01","2015-04-30","Agency Opportunity","Express","Retail","New Business"
"8cd4bec74ff85a9ac0eb96919b17f884","Sky High Financial Advice's Ms. Ošlejšková","d62f9afab1fec48c8cb28362f54a5634","ff453323a86798a3637badcd32a7c426","1119","Prospecting","2015-01-04 04:06:47","2015-04-01","5","2015-04-01","2015-05-31","Agency Opportunity","ConAgra","Retail","Renewal Business"
"85d3ddd04405f55d3345b350e9defb84","Pup 'N' Taco's Mr. Zapletal","173b48d2a4135f513eba70db50452615","ff453323a86798a3637badcd32a7c426","1119","Prospecting","2015-01-04 04:08:54","2015-05-25","5","2015-05-25","2015-09-04","Agency Opportunity","Johnsonville","Food & Beverage","New Business"
"72b680cad875f974f4aa11f707d20389","Baltimore Markets's Mr. ﻿Veselý","a094e89af71b8f15d9bcef74c9baa6c5","ff453323a86798a3637badcd32a7c426","0","Prospecting","2015-01-04 04:10:46","2015-04-01","5","2015-04-01","2015-06-30","Agency Opportunity","Kraft","Food & Beverage","New Business"
"5197fd6c0af13c2cb48c695783e32eac","Auto Palace's Mrs. Černá","0111bd333502ece7839dcabbb39c2b03","76e6a1534fa167caeb59b67a8bded0cc","531","Closed Won","2015-01-06 15:00:01","2014-12-31","100","2014-12-01","2014-12-31","Direct Opportunity","","Other","Renewal Business"
"be23bc2bdc26182b471c9605afbbf5a8","Sunburst Garden Management's Mr. Blažek","fb6b1e5223c5d30506c61f0d27b0702d","76e6a1534fa167caeb59b67a8bded0cc","129","Closed Won","2015-01-04 20:48:02","2015-03-31","100","2015-01-15","2015-02-28","Agency Opportunity","VW","Automotive","Renewal Business"
"08556522963f4ab4cd079f25b51372a3","Four Leaf Clover's Mr. Smola","c2e32d5f99915a8058dd540df70073cb","1c70407c079df3d86c8a4f20e7078da9","224","Closed Won","2015-01-06 17:16:39","2015-01-13","100","2015-02-03","2015-02-08","Direct Opportunity","RCA Records","Media & Entertainment","Renewal Business"
"31cd3537ba8e390103567f6fb8dbd485","Red Food's Mr. Šafránek","afd5065c8521dffb307faac1f15ec0fe","8d2e720ad577e595b9bf84360cd3d3bb","39","Closed Won","2015-01-06 17:59:39","2015-01-19","100","2015-01-07","2015-01-07","Agency Opportunity","itunes","Media & Entertainment","Renewal Business"
"b4e0ea12a61a942622caad14a447a2ef","Weenie Beenie's Mrs. Jelínková","6ce133287ef895a80f3f34b94a8ebbcc","1c70407c079df3d86c8a4f20e7078da9","224","Prospecting","2015-01-06 19:10:33","2015-01-07","5","2015-03-24","2015-03-31","Agency Opportunity","Roundabout Marketing","Manufacturing","New Business"
"85aff1567d480364786d4e05dab09664","Shoe Kicks's Mr. Špaček","ac6376916b63e6739f4fa4464ec98475","0af6ae4f7caab22aaa41d03114af90eb","3356","Closed Lost","2015-01-06 21:00:12","2015-02-13","0","2015-03-19","2015-03-23","Agency Opportunity","","Media & Entertainment","Renewal Business"
"77361f4a0061be88c6cfc0b647116510","Mr. AG's's Mr. Dvořák","bd42f76f34258262f6b17df2abebdb66","1b103f9b2812bf7659d06b9d358e58b2","492","Closed Won","2015-01-06 21:14:08","2015-01-28","100","2015-01-16","2015-01-29","Agency Opportunity","UMG","Media & Entertainment","Renewal Business"
"9bcb7719a4e3ddbaaa843c5747e4f318","VitaGrey's Mrs. Trávníčková","b5f3d4ff4b3699676344afb93119b65e","1f921f74f42e91ab7d4e5e0d23af1d9c","361","Closed Lost","2015-01-05 17:00:03","2015-02-01","0","2015-04-01","2015-04-30","Direct Opportunity","We Play Dots","Media & Entertainment","New Business"
"3606fed890b14b7e58a2881a32e76214","Newmark & Lewis's Dr. Šebesta","30bf15141516f73631cac77f6c2edebf","0719f9b9625b97f8a014cdffbeab01f8","6713","Proposal","2015-01-07 14:33:31","2015-02-08","25","2015-06-01","2015-08-31","Agency Opportunity","Pepsi","Food & Beverage","Renewal Business"
"409b53f6dd47228bc788eb7f129c7b32","ManCharm's Mr. Kroupa","8642e082b47b9c4dfbc147a27d74b017","e3223910123d6b2329af49416a57b4eb","404","Closed Won","2015-01-07 15:53:58","2015-01-09","100","2015-01-12","2015-02-01","Direct Opportunity","Tap Tap Networks","Other","New Business"
"1c9b0d4ca7cd0c467809d18aab08bd3f","Komerci's Ms. Svatá","76a1edb5bebb49cad928ed9805abd1de","1c70407c079df3d86c8a4f20e7078da9","358","Closed Won","2015-01-07 17:15:43","2015-01-20","100","2015-01-30","2015-02-20","Direct Opportunity","Sony Music Entertainment","Media & Entertainment","Renewal Business"
"9959bb89162c7eba108878f92593ad75","Family Toy's Mr. ﻿Novák","eb2dcd593e154801529fb2ca07dcc41b","8fb5c8ff0a4614939d89b4f6da584c39","415","Closed Won","2015-01-07 18:32:09","2015-01-12","100","2014-10-01","2014-12-31","Direct Opportunity","JumpTap, Inc.","Ad Network","Renewal Business"
"dd80cf6b878a2130f428b09e55f61254","Anthony's's Mr. Oravec","76a1edb5bebb49cad928ed9805abd1de","1c70407c079df3d86c8a4f20e7078da9","448","Closed Won","2015-01-07 19:32:31","2015-01-07","100","2015-01-13","2015-01-27","Direct Opportunity","Sony Music Entertainment","Media & Entertainment","Renewal Business"
"7dcf2f15512489db006b613f02a8d6ce","Galyan's's Mr. Karafiát","9a0bf4ca3d1b1b195b7fb120730123a5","11d7086dd0897d20194b66ea220cfe66","2238","Closed Lost","2015-01-09 20:27:07","2015-02-15","0","2015-02-15","2015-03-31","Agency Opportunity","Lifetime","Media & Entertainment","New Business"
"1ff1344a8f62bb391244a4075f1d16c6","ABC Markets's Mr. Navrátil","280c9f7604df4a6383c9ede7c59f8178","ac9dbc6338729a8138acb322c74c48d1","1646","Closed Won","2015-01-08 15:22:35","2015-03-03","100","2015-01-09","2015-03-04","Agency Opportunity","Mastercard","Finance","New Business"
"b04cf3002afe3beb640b2d2723398b73","Zantigo's Mr. Koutecký","a88e07d5d0fc4d5a645565dfbf25a446","ff453323a86798a3637badcd32a7c426","448","Closed Won","2015-01-08 16:21:41","2015-01-20","100","2015-01-11","2015-01-31","Agency Opportunity","McDonald's","CPG","New Business"
"44367cff98a97d0c8be6b74383814809","Stratagee's Mr. Slezáček","c2e32d5f99915a8058dd540df70073cb","1c70407c079df3d86c8a4f20e7078da9","112","Closed Lost","2015-01-08 17:07:46","2015-01-09","0","2015-01-13","2015-01-27","Direct Opportunity","RCA Records","Media & Entertainment","Renewal Business"
"789ca5e447862cfbf7bba72744995063","Dahlkemper's's Mr. Malý","927ef4b363cbecfa5af529bd65c3c749","0af6ae4f7caab22aaa41d03114af90eb","0","Closed Lost","2015-01-08 18:07:48","2015-01-12","0","2015-02-16","2015-03-15","Direct Opportunity","Rdio","Media & Entertainment","Renewal Business"
"30f2705c1a7394d0fd37293a0a71300c","Romp's Mr. Hudec","dcd0fb23a915e734ec3c92dbdaf7a0d1","1c70407c079df3d86c8a4f20e7078da9","193","Closed Won","2015-01-08 18:17:59","2015-01-09","100","2015-01-13","2015-01-31","Direct Opportunity","Sony Music Canada","Media & Entertainment","Renewal Business"
"ce1e164e60f660a31d0becbf475574d9","Hit or Miss's Mr. Popelka","1cfa201289a305901e7715b5a67da96f","1b103f9b2812bf7659d06b9d358e58b2","1566","Closed Lost","2015-01-08 20:26:12","2015-03-24","0","2015-03-24","2015-04-05","Agency Opportunity","","Media & Entertainment","Renewal Business"
"bd4900babefd7d1eb164c25fb42269a2","Farrell's Ice Cream Parlour's Mrs. Nováková","3fb8ff64605dfd3d176b26aabcd8c706","ff453323a86798a3637badcd32a7c426","448","Closed Lost","2015-01-08 20:57:30","2015-01-09","0","2015-01-11","2015-01-31","Agency Opportunity","","Food & Beverage","New Business"
"a4a8832451d547e5875405682cddf180","Jacobs's Mr. Růžička","8f680d94234e34cd0cd2e341b633f23f","23e8e17976f8d9a7f3bafaf9536320e1","0","Closed Lost","2015-01-08 20:58:35","2015-02-01","0","2015-02-01","2015-02-15","Agency Opportunity","Honda","Automotive","Renewal Business"
"0b7a4406f3a0d29042398aa502431d56","Road Runner Lawn Services's Ms. Burešová","7437da8c82c71aec9f1b1dc2960fc9fe","1c70407c079df3d86c8a4f20e7078da9","22","Closed Won","2015-01-08 22:48:27","2015-01-12","100","2015-01-12","2015-01-18","Direct Opportunity","Stache Media","Media & Entertainment","Renewal Business"
"2353fb04763fdeda672eb24bb9f137f7","Frame Scene's Mrs. Staňková","13c486cb73c83be961884838dfd60cc8","5faf736d4976f21781ffd43ee96f22e5","895","Closed Lost","2015-01-08 22:54:21","2014-12-11","0","2015-01-19","2015-03-31","Agency Opportunity","iTunes","Media & Entertainment","Renewal Business"
"2cc49a9aa62d45cb34d1c67846015975","Star Assistance's Mr. Pavelka","13c486cb73c83be961884838dfd60cc8","5faf736d4976f21781ffd43ee96f22e5","828","Closed Lost","2015-01-08 22:53:36","2014-12-11","0","2015-02-10","2015-02-23","Agency Opportunity","iTunes","Media & Entertainment","Renewal Business"
"4001195abc5c325bfe2af2d796ef2dd3","Weenie Beenie's Dr. Nedvídek","619cb3697f894ad78cece921488a3e7b","5faf736d4976f21781ffd43ee96f22e5","895","Closed Won","2015-01-08 22:57:02","2015-02-23","100","2015-02-23","2015-03-22","Direct Opportunity","Machine Zone","Technology","New Business"
